cnpj,DataInicial,DataFinal,diasOperacao,rentabilidade,rentabilidadeCDI
12636381000189,2014-03-17,2015-04-24,280,-28.58652651929824,12.537259751772645
12845795000118,2010-12-28,2013-04-05,571,13.149532296065058,23.24955056760418
12866269000134,2011-06-15,2020-05-07,2234,41.85719526213203,123.73494104737443
12960136000122,2011-01-27,2020-05-07,2328,33.85878247712939,133.2002692554428
12987096000102,2011-02-07,2020-05-07,2322,25.78476710455213,132.51707984413105
12984717000102,2011-03-03,2019-06-10,2074,199.07459699788794,120.74576495275866
12984730000153,2011-04-28,2020-05-07,2267,122.40709552577376,127.15758011171201
13037765000148,2012-09-03,2017-11-23,1312,69.20499612472095,72.51907026222125
13058855000115,2012-03-01,2020-05-07,2055,65.567099,107.1200002316921
13094667000142,2011-02-28,2020-05-07,2304,165.08895835251997,131.0584466378537
13083187000186,2011-04-06,2019-03-22,1995,82.45735603941371,115.74532353218636
13083213000176,2011-10-11,2017-02-22,1351,70.98973340429124,74.69649712692272
13143670000109,2011-05-17,2020-05-07,2255,171.6949640421327,125.84494598380198
13156002000116,2011-06-01,2016-06-29,1278,60.51682229122113,67.30459278455739
13356346000179,2011-10-03,2015-02-26,857,35.914171253261394,35.48608215712543
13396620000133,2018-05-15,2020-05-07,498,11.923844849686315,11.665484650216795
13402194000101,2011-09-27,2020-05-07,2162,76.6575435623572,116.50359913150501
13429265000151,2011-05-18,2020-05-07,2251,-63.36939766020561,125.74436332527874
13549559000117,2011-06-30,2017-10-19,1585,94.59175326482246,92.24049872441921
13667364000171,2011-10-03,2020-05-07,2157,191.9536227019084,116.11816718525927
13950443000195,2011-12-21,2020-05-07,2104,102.56972672206848,111.19384793850679
14171647000190,2011-12-07,2020-05-07,2114,166.61588427764283,112.05965048805906
14437398000132,2012-04-02,2020-05-07,2033,97.30510926548436,105.45927337274361
14424377000182,2011-12-29,2019-11-06,1975,40.363148684807285,106.4401518595294
14427818000108,2013-06-17,2013-10-17,89,4.893949887281512,2.841988903991721
14544028000102,2012-02-07,2012-08-06,125,0.5042514131117448,4.3050011470088245
14544826000126,2012-05-11,2020-05-07,2006,38.97523883002552,103.55825192757311
14655180000154,2012-08-06,2020-05-07,1879,17.601223889803475,99.73290085595028
14702111000154,2014-12-08,2020-05-07,1356,66.9946749497561,63.36977123234624
14791749000109,2012-04-30,2014-07-30,566,16.24409310575121,20.247563156837156
14793877000191,2011-12-30,2013-11-04,465,-27.276023108034675,15.500427629345847
14843629000108,2016-02-10,2020-05-07,1064,42.071352310873465,41.34096022785665
14843468000152,2012-11-26,2016-09-16,960,48.369407343479565,49.873819014988996
14843230000127,2012-10-02,2015-12-16,807,6.741510208965851,37.07144974310095
14843244000140,2012-12-11,2013-10-04,207,-1.2892944400977324,6.120348352483962
14843248000129,2012-11-30,2020-05-07,1865,-2.7427744943911647,95.285875196554
14940834000191,2012-02-28,2020-05-07,2056,105.8295249349034,107.28083941269189
15044975000199,2012-03-15,2020-05-07,2045,103.94488959957266,106.34792594219977
